Income,Tenure,FICO,Origination,Amount,Grade
80000,10+ years,752,Jun-19-2019,4250,B
52000,10+ years,767,May-06-2019,17500,A
56700,7 years,687,Apr-22-2019,14875,D
62500,10+ years,707,May-09-2019,10625,B
100039,4 years,697,Apr-30-2019,25000,C
127028,6 years,672,Apr-02-2019,25000,D
225056,5 years,n/a,Jun-30-2019,5300,D
42000,10+ years,787,Jun-11-2019,10000,A
75000,6 years,702,Apr-16-2019,6000,B
60000,10+ years,692,May-22-2019,7975,B
167015,10+ years,742,Jun-15-2019,20000,A
70000,2 years,717,Jun-19-2019,3300,B
n/a,9 years,787,Jun-30-2019,6000,A
104037,10+ years,722,May-31-2019,5500,B
95000,5 years,757,Jun-21-2019,3000,A
97621,5 years,702,Apr-13-2019,28900,A
"NA",7 years,687,Apr-13-2019,12000,D
50000,6 years,747,Apr-17-2019,1200,B
70000,0 years,812,May-24-2019,5000,A
40000,6 years,662,Jun-14-2019,n/a,D
100087,7 years,717,Jun-09-2019,35000,C
59160,10+ years,727,Jun-14-2019,20000,A
57225,10+ years,702,Apr-14-2019,6000,B
49000,1 year,742,May-08-2019,22000,A
120029,6 years,747,Jun-05-2019,3000,C
106069,10+ years,677,May-18-2019,10000,B
32000,0 years,687,Apr-25-2019,5500,C
35000,0 years,712,Jun-20-2019,10000,B
60000,1 year,767,Jun-23-2019,40000,C
54250,9 years,787,May-29-2019,7500,A
70000,5 years,717,Apr-13-2019,18000,C
65000,10+ years,707,Apr-01-2019,21250,D
52000,6 years,692,"NA",22875,D
80000,10+ years,697,Apr-24-2019,5000,D
55500,9 years,687,May-19-2019,24000,D
26000,5 years,697,Apr-11-2019,15000,B
120093,10+ years,702,Jun-03-2019,35000,C
108018,6 years,697,May-16-2019,8000,D
80000,4 years,717,May-14-2019,35000,C
45000,5 years,707,May-19-2019,10000,C
30000,2 years,737,May-22-2019,4500,A
78000,10+ years,722,Apr-08-2019,31900,B
45000,10+ years,752,Apr-08-2019,4000,B
55000,10+ years,722,Jun-05-2019,5000,A
42000,3 years,762,May-06-2019,26000,C
62000,3 years,687,Jun-17-2019,10000,D
60000,10+ years,682,Apr-08-2019,12000,D
65000,5 years,682,Apr-22-2019,3000,D
44000,5 years,687,May-21-2019,2500,C
29000,8 years,672,Apr-20-2019,10000,C
51000,10+ years,722,Jun-28-2019,25000,D
n/a,1 year,677,May-05-2019,10000,C
n/a,10+ years,807,Jun-14-2019,n/a,A
45000,10+ years,677,Apr-19-2019,7000,B
84000,0 years,707,Jun-18-2019,20000,A
85000,10+ years,767,Jun-03-2019,6000,A
132085,2 years,667,May-10-2019,14000,C
100013,2 years,707,Apr-17-2019,35000,D
50000,3 years,692,Jun-29-2019,4000,D
110022,6 years,712,Jun-21-2019,18650,A
40000,4 years,737,May-17-2019,20000,C
30000,3 years,747,Apr-15-2019,15000,B
145059,10+ years,802,Apr-25-2019,18500,A
195018,10+ years,682,Apr-26-2019,35000,A
n/a,10+ years,682,Apr-11-2019,10000,C
62000,10+ years,727,Apr-07-2019,16600,D
102070,7 years,822,Apr-03-2019,5250,A
95000,10+ years,712,Apr-17-2019,11000,B
78000,0 years,712,Jun-25-2019,25000,D
90000,0 years,677,Jun-22-2019,28000,D
"NA",3 years,692,Apr-19-2019,10000,D
58000,10+ years,747,May-19-2019,7300,A
55000,10+ years,707,Jun-18-2019,15000,D
100072,4 years,762,Apr-17-2019,3000,A
55000,5 years,672,Jun-29-2019,5000,A
145059,10+ years,722,May-02-2019,25000,B
60000,7 years,677,May-22-2019,24000,D
25000,10+ years,702,Jun-26-2019,19125,C
50000,3 years,692,May-31-2019,10000,A
140047,7 years,727,Apr-02-2019,9000,A
80000,5 years,672,Jun-05-2019,16000,C
98050,10+ years,732,Apr-25-2019,40000,A
167098,10+ years,687,May-04-2019,9600,D
n/a,10+ years,n/a,Apr-21-2019,25500,A
120025,10+ years,682,Apr-22-2019,21000,C
98500,2 years,687,Jun-05-2019,15600,A
150015,10+ years,727,May-15-2019,7000,A
145021,10+ years,722,May-05-2019,15000,A
63000,10+ years,707,May-06-2019,10000,D
80000,2 years,717,Apr-23-2019,8000,C
87000,6 years,752,Apr-22-2019,5300,A
70000,10+ years,717,Apr-03-2019,6000,A
52200,10+ years,,May-17-2019,10000,C
82000,10+ years,692,Jun-04-2019,10625,B
135097,10+ years,757,Apr-17-2019,15000,A
19648,2 years,667,,7000,A
104100,10+ years,752,May-02-2019,17000,A
62000,0 years,662,May-03-2019,25000,A
45000,2 years,757,May-14-2019,35000,C
130047,10+ years,687,May-05-2019,3200,B
56700,10+ years,687,Apr-07-2019,27625,D
65000,10+ years,672,Apr-16-2019,11150,D
59747.52,10+ years,687,May-17-2019,1200,D
70000,10+ years,757,Jun-04-2019,15000,A
55000,1 year,692,May-09-2019,25000,C
57000,8 years,692,Jun-20-2019,10000,D
1800020,0 years,672,Apr-11-2019,9075,C
30000,0 years,682,Jun-25-2019,5600,B
72000,3 years,667,May-24-2019,15000,C
52800,4 years,787,Apr-26-2019,2700,A
50000,10+ years,677,May-01-2019,14000,C
75000,5 years,692,May-03-2019,16450,D
120040,10+ years,817,Apr-09-2019,17600,A
90000,0 years,722,Jun-15-2019,13000,B
100034,6 years,692,May-01-2019,5000,B
75000,10+ years,707,May-15-2019,20000,C
98000,10+ years,752,,"NA",A
70432,10+ years,677,May-31-2019,20000,C
154039,3 years,717,May-12-2019,21000,A
180066,4 years,702,May-04-2019,40000,A
95000,3 years,792,May-18-2019,10000,A
105071,10+ years,707,Jun-02-2019,10000,A
52000,1 year,772,Apr-13-2019,3500,A
